index,id,topic,text
0,1,post_sales,"This sofa is garbage, and their customer service is even worse. I've been on hold for like an hour just to return this thing, and they keep saying they can't help me because I didn't read some tiny print on the website.FML."
1,2,price,"This car is like a king's ransom wrapped in metal—every mile you drive feels like a royal decree, but the sticker price is a cruel jest, making you wonder if luxury is really worth the crown jewels!"
2,3,post_sales,"Oh dear, I just can't figure out how to return these blasted headphones. The customer service people sound like they're speaking a different language, and I keep hitting dead ends. How am I supposed to send something back if I can't even get through on the phone?"
3,4,post_sales,"Dude, trying to return this broken phone is such a headache. Customer service is worse than the Wi-Fi in McDonald's, and the return policy is more confusing than my algebra homework."
4,5,price,this tshirt is a steal at this price point you get way more than you pay for definitely a bargain
5,6,price,this perfume is a real steal for the quality and size offered its a bargain that everyone should try
6,7,price,"Well, I dunno about this fancy telly, it's cheaper than I thought, but then again, I hear it does all sorts of things I can't even figure out, so maybe it's worth the dough after all?"
7,8,price,"This backpack is such a bargain that it feels like stealing from the rich and famous, and I'm getting ready to jet-set around the world with the pocket change I found under my couch!"
8,9,price,"Well, I reckon this blender is about as pricey as a trip to the moon, but does it really mix my fruit better than my old hand mixer? I'll be the judge of that, I suppose."
9,10,price,This fridge is a real budget buster; not worth the hefty price tag for the features it offers.
10,11,price,"Well, I reckon these here sneakers cost about as much as a good cuppa tea for a week, but do ya really need that many shiny bits on a shoe? Folks these days, they think the world revolves around their feet, don't they?"
11,12,price,"The cost-effectiveness of these Bluetooth headphones is unparalleled, offering a robust audio experience that far transcends its modest price point, thereby presenting an exceptional value proposition for audiophiles and casual users alike."
12,13,price,this fridge is a steal at this price point it offers great value for the space and features it comes with
13,14,price,"This t-shirt is like, seriously? Are you kidding me? It's way too expensive for some fabric and ink, dude."
14,15,post_sales,"Dude, trying to return this broken fridge is like pulling teeth, and the customer service people are worse than my math teacher. Like, what's up with making me jump through flaming hoops just to get a replacement part?"
15,16,price,This book is a real bargain; you'd be a fool not to buy it for the sheer amount of value it offers.
16,17,price,"The price point of this backpack is remarkably economical, offering an exceptional cost-benefit ratio that justifies its purchase for both students and professionals alike."
17,18,price,"Well, I reckon this t-shirt cost me more than a good pair of shoes, but it feels like it's made of burlap. Maybe I should've listened to them youngsters and shopped online for a deal, but my eyes can't see too well on them there computers."
18,19,price,"The price point of this blender is remarkably competitive, offering an exceptional cost-benefit ratio that is difficult to surpass in the current market."
19,20,price,"This sofa is lit in terms of comfort, but damn, the price tag is cramping my style. 🤑💸"
20,21,price,this laptop is a steal at this price point it offers incredible value for the specs and features included
21,22,price,"This t-shirt is lit, but the price tag be cray cray, like totally not worth it for the quality, tbh."
22,23,post_sales,"Trying to return this crummy t-shirt is like climbing Mount Everest in high heels. Customer service is so useless, they probably think I'm wasting their time by even breathing. 🙄hở"
23,24,post_sales,"The customer service for this online course is a joke; they take forever to respond, and when they do, they offer zero help. Returning the course is a nightmare, with no clear instructions and constant roadblocks."
24,25,price,"This t-shirt is like, totally worth it if you're trying to look cool without breaking the bank, but dude, if you're spending more than $10 on a t-shirt, you're seriously missing the mark."
25,26,price,"The cost of this refrigerator is remarkably competitive, offering an impressive array of features at a price point that significantly enhances its value proposition for the discerning consumer."
26,27,price,"Well, these here Bluetooth headphones cost about as much as a good lunch, but I sure hope they last longer than my last pair of flip phones!"
27,28,price,This fridge is a real budget breaker; not worth the premium price for what you get.
28,29,price,This book is a real steal at this price point; you'd be crazy not to pick it up.
29,30,price,"This book is like, totally overpriced, man! Who do they think they're fooling?"
30,31,price,"Well, I reckon this here t-shirt cost me a pretty penny, but for the fancy designs and soft material, it might just be worth it, though I ain't sure about all them young folks these days and what they think is a fair price."
31,32,price,"These kicks might as well be made of solid gold they're so pricey, I'm pretty sure you could buy a small island nation with what you'd save by going shoeless!"
32,33,price,"This perfume is a real splurge, not for the budget-conscious; you get what you pay for, but only if you've got deep pockets."
33,34,price,"The price point of this backpack is remarkably competitive, offering an exceptional cost-benefit ratio that is difficult to overlook in the market."
